Year,Country,Sex,SexQF,AllAges,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90plus
2030,S92000003,Female,,2915239,23461,23627,23773,23851,23891,23910,23932,24038,24598,24943,25559,26797,26694,27459,28613,29098,29456,30420,31542,33672,35807,36297,37091,36317,36528,35367,36649,39177,38357,38933,40668,39686,37989,38026,37324,36857,38122,38428,39464,39731,38640,38466,39202,37589,37623,37914,36668,36995,36810,36965,35712,34641,32550,31635,33431,33709,34193,35869,38162,39821,39374,40413,41009,40524,40474,41403,41121,40165,38235,36922,35707,34876,33887,31744,30481,28906,27533,26394,24697,24260,23395,23223,22844,23360,16555,14850,13935,12506,10505,8549,34645
2030,S92000003,Male,,2745120,24617,24771,24909,24993,25032,25031,25046,25171,26240,26194,26896,28425,28128,29014,30555,30746,31183,31838,33346,34577,35402,36138,36504,36089,35892,34796,36160,37798,36629,37077,38778,37379,35924,36285,35295,35061,35881,35610,36667,37729,36265,36316,37013,35552,35592,35346,34496,34327,34255,34830,33961,33553,30053,29961,31420,31568,32436,33580,34783,36321,36238,37399,37616,37895,37073,38204,37416,36694,35406,33868,32854,31814,30488,28557,27112,25342,24086,22937,21163,20331,19342,18978,18307,18236,12736,10719,9886,8291,6689,5134,18875
2031,S92000003,All,d,5672525,48234,48562,48848,49010,49084,49125,49190,49248,49476,51105,51408,52735,55502,55098,56769,59548,60321,61243,63647,67880,71288,72737,73138,74256,72804,72439,70314,73063,77221,75262,76374,79850,77431,74262,74664,72962,72231,74272,74302,76402,77682,75075,74952,76356,73234,73304,73343,71223,71341,71076,71801,69643,68129,62532,61497,64717,65126,66419,69183,72624,75761,75196,77340,78096,77818,76903,78862,77703,75952,72677,69747,67441,65468,63056,58925,56130,52723,50012,47622,44087,42666,40663,39919,38679,38789,27065,23384,21525,18548,15100,54106
2031,S92000003,Female,,2922418,23537,23706,23854,23932,23968,24000,24034,24059,24168,24720,25070,25694,26928,26827,27599,28790,29318,29741,31198,33352,35503,36662,36680,37497,36532,36480,35420,36820,39374,38573,39202,40958,39936,38206,38239,37534,37041,38283,38583,39616,39870,38766,38593,39300,37659,37690,37969,36712,37024,36836,36985,35704,34618,32527,31604,33394,33663,34116,35774,38050,39681,39219,40242,40801,40279,40210,41091,40758,39773,37830,36480,35230,34353,33314,31141,29830,28223,26811,25622,23888,23367,22422,22139,21650,21976,15445,13723,12736,11285,9337,35074
2031,S92000003,Male,,2750107,24697,24856,24994,25078,25116,25125,25156,25189,25308,26385,26338,27041,28574,28271,29170,30758,31003,31502,32449,34528,35785,36075,36458,36759,36272,35959,34894,36243,37847,36689,37172,38892,37495,36056,36425,35428,35190,35989,35719,36786,37812,36309,36359,37056,35575,35614,35374,34511,34317,34240,34816,33939,33511,30005,29893,31323,31463,32303,33409,34574,36080,35977,37098,37295,37539,36693,37771,36945,36179,34847,33267,32211,31115,29742,27784,26300,24500,23201,22000,20199,19299,18241,17780,17029,16813,11620,9661,8789,7263,5763,19032
2032,S92000003,All,d,5684210,48353,48720,49014,49176,49250,49286,49374,49460,49515,49743,51375,51686,53014,55778,55391,57149,60025,60924,62630,66632,70914,72818,73443,73792,74644,72815,72584,70577,73315,77496,75624,76783,80223,77781,74619,75013,73275,72502,74535,74576,76633,77856,75249,75101,76448,73327,73393,73401,71246,71353,71090,71771,69584,68043,62432,61379,64569,64922,66168,68880,72269,75345,74745,76822,77501,77170,76191,78029,76795,74969,71619,68623,66222,64144,61638,57448,54570,51103,48301,45803,42206,40620,38491,37552,36111,35897,24791,21174,19232,16324,55836
2032,S92000003,Female,,2929337,23595,23783,23934,24013,24049,24077,24124,24161,24190,24290,24846,25205,25825,27061,26965,27775,29010,29603,30519,33001,35176,36358,37047,37080,37705,36479,36530,35595,37019,39590,38841,39494,41214,40155,38421,38453,37718,37202,38438,38737,39758,39998,38894,38694,39370,37727,37747,38010,36743,37050,36859,36976,35681,34592,32493,31572,33349,33586,34026,35670,37919,39525,39055,40040,40555,40017,39910,40733,40365,39356,37384,36000,34709,33780,32689,30484,29134,27492,26036,24793,23020,22407,21389,20997,20388,20529,14294,12562,11513,10050,36139
2032,S92000003,Male,,2754873,24758,24937,25080,25163,25201,25209,25250,25299,25325,25453,26529,26481,27189,28717,28426,29374,31015,31321,32111,33631,35738,36460,36396,36712,36939,36336,36054,34982,36296,37906,36783,37289,39009,37626,36198,36560,35557,35300,36097,35839,36875,37858,36355,36407,37078,35600,35646,35391,34503,34303,34231,34795,33903,33451,29939,29807,31220,31336,32142,33210,34350,35820,35690,36782,36946,37153,36281,37296,36430,35613,34235,32623,31513,30364,28949,26964,25436,23611,22265,21010,19186,18213,17102,16555,15723,15368,10497,8612,7719,6274,19697
2033,S92000003,All,d,5695335,48465,48839,49173,49342,49415,49452,49537,49645,49727,49781,50014,51653,51963,53289,56070,55766,57625,60629,62308,65597,69649,72441,73525,74099,74175,74647,72956,72846,70832,73594,77857,76028,77156,80580,78141,74971,75328,73545,72766,74808,74808,76811,78029,75400,75202,76541,73419,73457,73424,71263,71370,71069,71710,69504,67927,62312,61248,64369,64678,65883,68547,71882,74893,74251,76241,76861,76455,75395,77121,75810,73890,70479,67402,64904,62722,60117,55875,52915,49379,46478,43871,40204,38476,36236,35091,33459,32932,22485,18961,16958,58387
2033,S92000003,Female,,2935965,23650,23841,24011,24093,24130,24158,24203,24252,24292,24312,24416,24980,25335,25957,27198,27139,27994,29294,30379,32315,34817,36028,36744,37449,37285,37646,36527,36703,35794,37236,39858,39130,39749,41438,40373,38636,38639,37879,37356,38591,38880,39888,40126,38995,38768,39438,37785,37791,38040,36771,37073,36852,36951,35655,34554,32457,31532,33273,33496,33928,35549,37774,39359,38861,39801,40293,39721,39566,40344,39947,38897,36899,35476,34139,33156,32009,29783,28390,26708,25204,23902,22085,21387,20300,19790,19067,19024,13106,11377,10273,37698
