Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
20221119,18,21.5714285714286,
20221120,19,21.5714285714286,
20221121,32,23,
20221122,26,23.2857142857143,
20221123,31,24.8571428571429,
20221124,27,25.1428571428571,
20221125,22,25,
20221126,26,26.1428571428571,
20221127,32,28,
20221128,28,27.4285714285714,
20221129,26,27.4285714285714,
20221130,33,27.7142857142857,
20221201,25,27.4285714285714,
20221202,17,26.7142857142857,
20221203,22,26.1428571428571,
20221204,35,26.5714285714286,
20221205,28,26.5714285714286,
20221206,35,27.8571428571429,
20221207,42,29.1428571428571,
20221208,39,31.1428571428571,
20221209,38,34.1428571428571,
20221210,25,34.5714285714286,
20221211,33,34.2857142857143,
20221212,39,35.8571428571429,
