Month,Ethnicity,NumberAdmitted,NumberAdmittedQF,PercentAdmitted,PercentAdmittedQF
20221201,Caribbean or Black,,c,,c
20221201,Mixed or Multiple Ethnic Groups,10,,0.68,
20221201,Other,10,,0.68,
20221201,Unknown,185,,12.6,
20221201,White,1242,,84.6,
20230101,African,,c,,c
20230101,"Asian, Asian Scottish or Asian British",11,,0.86,
20230101,Caribbean or Black,,c,,c
20230101,Mixed or Multiple Ethnic Groups,,c,,c
20230101,Other,7,,0.55,
20230101,Unknown,157,,12.25,
20230101,White,1100,,85.8,
20230201,African,,c,,c
20230201,"Asian, Asian Scottish or Asian British",17,,1.79,
20230201,Caribbean or Black,,c,,c
20230201,Mixed or Multiple Ethnic Groups,,c,,c
20230201,Other,,c,,c
20230201,Unknown,127,,13.4,
20230201,White,794,,83.76,
20230301,African,5,,0.28,
20230301,"Asian, Asian Scottish or Asian British",28,,1.57,
20230301,Caribbean or Black,,c,,c
20230301,Mixed or Multiple Ethnic Groups,,c,,c
20230301,Other,5,,0.28,
20230301,Unknown,228,,12.82,
20230301,White,1507,,84.76,
20230401,African,7,,0.57,
20230401,"Asian, Asian Scottish or Asian British",17,,1.38,
20230401,Caribbean or Black,,c,,c
20230401,Mixed or Multiple Ethnic Groups,,c,,c
20230401,Other,7,,0.57,
20230401,Unknown,142,,11.52,
20230401,White,1054,,85.48,
