ethnicity,number_admitted,number_admitted_qf,percent_admitted,percent_admitted_qf,date,year,month,day,week,weekday,season
"asian,_asian_scottish_or_asian_british",50,NA,2.56,NA,2022-02-01,2022,2,1,5,Tue,winter
caribbean_or_black,NA,c,NA,c,2022-02-01,2022,2,1,5,Tue,winter
mixed_or_multiple_ethnic_groups,9,NA,0.46,NA,2022-02-01,2022,2,1,5,Tue,winter
other,16,NA,0.82,NA,2022-02-01,2022,2,1,5,Tue,winter
unknown,257,NA,13.16,NA,2022-02-01,2022,2,1,5,Tue,winter
white,1614,NA,82.64,NA,2022-02-01,2022,2,1,5,Tue,winter
african,11,NA,0.3,NA,2022-03-01,2022,3,1,9,Tue,spring
"asian,_asian_scottish_or_asian_british",50,NA,1.35,NA,2022-03-01,2022,3,1,9,Tue,spring
caribbean_or_black,NA,c,NA,c,2022-03-01,2022,3,1,9,Tue,spring
mixed_or_multiple_ethnic_groups,13,NA,0.35,NA,2022-03-01,2022,3,1,9,Tue,spring
other,24,NA,0.65,NA,2022-03-01,2022,3,1,9,Tue,spring
unknown,495,NA,13.38,NA,2022-03-01,2022,3,1,9,Tue,spring
white,3105,NA,83.94,NA,2022-03-01,2022,3,1,9,Tue,spring
african,NA,c,NA,c,2022-04-01,2022,4,1,13,Fri,spring
"asian,_asian_scottish_or_asian_british",27,NA,1.14,NA,2022-04-01,2022,4,1,13,Fri,spring
caribbean_or_black,NA,c,NA,c,2022-04-01,2022,4,1,13,Fri,spring
mixed_or_multiple_ethnic_groups,10,NA,0.42,NA,2022-04-01,2022,4,1,13,Fri,spring
other,8,NA,0.34,NA,2022-04-01,2022,4,1,13,Fri,spring
unknown,284,NA,11.98,NA,2022-04-01,2022,4,1,13,Fri,spring
white,2035,NA,85.83,NA,2022-04-01,2022,4,1,13,Fri,spring
african,NA,c,NA,c,2022-05-01,2022,5,1,18,Sun,spring
"asian,_asian_scottish_or_asian_british",11,NA,0.93,NA,2022-05-01,2022,5,1,18,Sun,spring
caribbean_or_black,NA,c,NA,c,2022-05-01,2022,5,1,18,Sun,spring
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2022-05-01,2022,5,1,18,Sun,spring
other,10,NA,0.85,NA,2022-05-01,2022,5,1,18,Sun,spring
unknown,178,NA,15.05,NA,2022-05-01,2022,5,1,18,Sun,spring
white,978,NA,82.67,NA,2022-05-01,2022,5,1,18,Sun,spring
african,5,NA,0.21,NA,2022-06-01,2022,6,1,22,Wed,summer
"asian,_asian_scottish_or_asian_british",20,NA,0.84,NA,2022-06-01,2022,6,1,22,Wed,summer
caribbean_or_black,NA,c,NA,c,2022-06-01,2022,6,1,22,Wed,summer
mixed_or_multiple_ethnic_groups,13,NA,0.55,NA,2022-06-01,2022,6,1,22,Wed,summer
other,15,NA,0.63,NA,2022-06-01,2022,6,1,22,Wed,summer
unknown,333,NA,13.97,NA,2022-06-01,2022,6,1,22,Wed,summer
white,1996,NA,83.72,NA,2022-06-01,2022,6,1,22,Wed,summer
african,NA,c,NA,c,2022-07-01,2022,7,1,26,Fri,summer
"asian,_asian_scottish_or_asian_british",53,NA,1.87,NA,2022-07-01,2022,7,1,26,Fri,summer
caribbean_or_black,NA,c,NA,c,2022-07-01,2022,7,1,26,Fri,summer
mixed_or_multiple_ethnic_groups,15,NA,0.53,NA,2022-07-01,2022,7,1,26,Fri,summer
other,15,NA,0.53,NA,2022-07-01,2022,7,1,26,Fri,summer
unknown,383,NA,13.5,NA,2022-07-01,2022,7,1,26,Fri,summer
white,2366,NA,83.37,NA,2022-07-01,2022,7,1,26,Fri,summer
african,5,NA,0.39,NA,2022-08-01,2022,8,1,31,Mon,summer
"asian,_asian_scottish_or_asian_british",33,NA,2.59,NA,2022-08-01,2022,8,1,31,Mon,summer
caribbean_or_black,NA,c,NA,c,2022-08-01,2022,8,1,31,Mon,summer
mixed_or_multiple_ethnic_groups,6,NA,0.47,NA,2022-08-01,2022,8,1,31,Mon,summer
other,10,NA,0.79,NA,2022-08-01,2022,8,1,31,Mon,summer
unknown,164,NA,12.88,NA,2022-08-01,2022,8,1,31,Mon,summer
white,1053,NA,82.72,NA,2022-08-01,2022,8,1,31,Mon,summer
african,6,NA,0.54,NA,2022-09-01,2022,9,1,35,Thu,autumn
